user_id,item_id,rating,timestamp
A1N070NS9CJQ2I,0060009810,5.0,1026864000
A3P0KRKOBQK1KN,0060009810,5.0,1025913600
A192HO2ICJ75VU,0060009810,5.0,1025654400
A2T278FKFL3BLT,0060009810,4.0,1025395200
A2ZUXVTW8RXBXW,0060009810,5.0,1025222400
A21JDG4HA6OLPF,0060009810,4.0,1024963200
A2NCADLQY962YD,0060009810,5.0,1024704000
A2UNA438B0FRA8,0060786817,5.0,1138233600
A2NQQSHSQKKGEX,0060786817,5.0,1137801600
A5EXND10WD4PM,0060786817,3.0,1137542400
AVJ37XQN3ID16,0060786817,5.0,1137542400
A21NVBFIEQWDSG,0060786817,4.0,1136851200
A1KWVR13XUOGQG,0060786817,5.0,1223510400
A2PH70X2FVDDGH,0060786817,4.0,1208995200
A25R6KND6KDDCU,0060786817,3.0,1187222400
A1X7HRXX3BJXQ8,0060786817,4.0,1186272000
A4KWKERR4FVWC,0060786817,4.0,1184803200
A1A4KLWL4O1JXY,0060786817,4.0,1176163200
A33CQQQ6H25GGD,0060786817,1.0,1168473600
A2RH8YVDQRRPNV,0060786817,2.0,1163635200
A1OXHHS3LUGPTQ,0060786817,2.0,1162080000
AUMYX5PJBJVNJ,0060786817,3.0,1159833600
A2BZ7MYTSNYMEW,0060786817,4.0,1154304000
A1R6DXXISX0FI2,0060786817,3.0,1153699200
A27385LU50J4JJ,0060786817,4.0,1152403200
A1DGKH6MTDLWNG,0060786817,5.0,1149638400
A4OV8BBDDLRZ5,0060786817,5.0,1149638400
A2NKZK0VM5JB9P,0060786817,5.0,1148515200
AC0N6E128OYZH,0060786817,3.0,1148342400
AQAA34NX136AP,0060786817,5.0,1147910400
A12CK830R4WVMY,0060786817,5.0,1147046400
A2VKWLCNZF4ZVB,0060786817,4.0,1146960000
A2IERWULVCFCEK,0060786817,4.0,1146700800
A1KQY3BIGXW2KV,0060786817,5.0,1146355200
AQY1WFRJ2XH7E,0060786817,4.0,1146268800
A1H0J4Y7FIPL7N,0060786817,2.0,1146009600
A2EOXPEU0CEWGD,0060786817,5.0,1145664000
A2GQ0WGM9BYX9O,0060786817,5.0,1145577600
A3XQ698O5V3SY,0060786817,2.0,1145491200
A153ACYVEKV1QF,0060786817,2.0,1145232000
A2V9AQK1OV6H3X,0060786817,3.0,1145232000
A2YN51EGQGBD48,0060786817,5.0,1143763200
A2IKMA0VS49JNY,0060786817,1.0,1143676800
A3BJYYTYPPZZPD,0060786817,1.0,1143158400
A2VVSPHNZXHXJO,0060786817,1.0,1142812800
A3AU9FL6SU1JAM,0060786817,2.0,1142035200
AUKZVLXRIVBOV,0060786817,1.0,1141948800
A3G0N44BYSZNZW,0060786817,5.0,1141084800
A1SXOW3PGJA84J,0060786817,5.0,1140912000
A16LP3AJH4938G,0060786817,5.0,1138492800
A3ETPZ4XGRDAVB,0060786817,5.0,1138492800
A3ARKIXBV6T22T,0060786817,5.0,1138233600
A2SL45WQVB3B5G,0070524076,5.0,1156377600
AG35NEEFCMQVR,0070524076,4.0,1108339200
A171K1UOL11JMD,0070524076,4.0,1407801600
A27HAOA8O7HZ81,0070524076,4.0,1399939200
A3LZSLF818WPIO,0070524076,5.0,1393113600
A3T80FWJ20CWCW,0070524076,3.0,1362355200
A3D9CW64TXJVM4,0070524076,1.0,1354752000
A2S3LIZP1ST3RS,0070524076,4.0,1338940800
A5EIRSOASPY0V,0070524076,3.0,1310256000
A2VAEIU0B4MFVH,0070524076,1.0,1251417600
A27JVWU65ZA143,0070524076,5.0,1235001600
A99MTBXJYA1LY,0070524076,5.0,1170288000
AAP7PPBU72QFM,0151004714,5.0,937612800
AIMPBO9K5SQ5X,0151004714,3.0,1413158400
A2QCVDCCZ3ABAC,0151004714,2.0,1412208000
A1C0Y8AFKTIRWY,0151004714,3.0,1409443200
A3M96C2MSACALP,0151004714,1.0,1407628800
A3JNMQZ0EUZVGY,0151004714,1.0,1407628800
A28EC1YY62SVRQ,0151004714,5.0,1407628800
A3DDTW92Y8VGGV,0151004714,4.0,1407628800
AE54CQG4THB7Y,0151004714,1.0,1407283200
A1O7WUHVV5HH53,0151004714,2.0,1398384000
AMAHN50UWYB9Y,0151004714,4.0,1390694400
A1DOWPEELWQ7AO,0151004714,4.0,1386979200
A2E168DTVGE6SV,0151004714,3.0,1382486400
A1ARTNPA3VALD3,0151004714,2.0,1379721600
A3ELN7IRFZTVIO,0151004714,4.0,1372982400
A24D95RTPMGY2Z,0151004714,1.0,1371427200
A1UWHK0U1MD7L,0151004714,4.0,1367971200
AKVNQ5EJQ4STG,0151004714,3.0,1361145600
AUPYB4D77G80K,0151004714,1.0,1342569600
A35VNTKN8VW4AW,0151004714,5.0,1336348800
A3D2FEHWHKK4GY,0151004714,3.0,1291161600
A1ER5AYS3FQ9O3,0151004714,5.0,1220313600
